"0","7","8019","20","46","294 Victoria Land
Lake Josephhaven, IA 20052","1999-07-02 16:46:37","2","true","1999-07-18 06:36:16","199.43"
"1","3","15507","38","187","4100 Gibbs Parks
Stephaniemouth, NY 10182","1985-09-30 19:58:29","7","true","2021-10-13 18:52:45","375.46"
"2","5","11513","23","4","4170 Evans Land Apt. 917
North Patrick, IA 70409","1979-02-28 15:18:52","2","false","2014-07-09 18:43:54","219.71"
"3","5","10727","4","8","1321 Hendrix Valley Apt. 189
Carrollbury, CO 24600","2002-12-09 19:11:47","6","false","2005-03-31 23:44:59","143.01"
"4","4","11672","48","43","19382 Michael Walks Apt. 836
New Sandra, ND 08814","1974-12-06 11:43:22","6","false","1978-08-20 06:38:10","237.02"
"5","7","14243","44","190","3940 Brown Expressway
Kristyport, WY 05702","1972-03-24 10:03:59","1","false","2021-10-31 23:29:32","183.54"
"6","8","14218","11","111","0142 Edward Turnpike
North Ronald, GA 18574","1986-09-29 01:40:29","4","false","2014-10-10 03:38:12","224.76"
"7","4","7400","23","69","62599 Bennett Loaf Apt. 365
West Carolynberg, MD 96062","2014-12-03 21:50:13","2","true","2022-02-20 09:18:46","430.46"
"8","5","3621","2","53","586 Schmidt Course Apt. 883
Erinland, NJ 35242","2010-11-20 09:59:20","3","true","2022-07-18 19:03:14","287.11"
"9","2","6943","9","44","19324 Mahoney View
North Vanessa, VT 58892","1983-12-05 20:44:39","9","true","1991-02-21 18:34:59","357.92"
"10","9","14608","8","85","683 David Gateway
Lake Kathleen, IL 21798","1970-08-14 20:07:09","6","false","2006-11-06 15:03:03","304.97"
"11","5","16897","15","11","694 Campos Stravenue
Schmittville, IL 58920","1976-03-16 06:54:53","5","true","1982-08-31 08:31:24","398.84"
"12","3","7802","35","101","691 Donna Hill Apt. 122
Kristopherstad, NC 39030","1983-10-06 04:31:42","9","true","2001-04-04 18:11:30","403.39"
"13","8","11952","4","15","92609 Shannon Streets
Lake Charles, OR 80324","1986-07-20 05:02:02","9","false","2018-09-04 21:25:51","496.25"
"14","1","10973","1","86","PSC 7402, Box 8745
APO AE 16833","1996-08-19 06:25:50","9","false","2021-10-30 10:32:17","253.09"
"15","1","7938","8","17","70845 Richmond Fields Apt. 589
East Cliffordport, NY 79385","1979-11-30 09:42:13","6","true","1999-05-13 09:33:42","247.52"
"16","9","331","8","180","4213 Jeffrey Summit
Johnsonchester, DC 69191","1981-02-18 17:17:09","7","false","2000-05-11 13:00:09","19.81"
"17","4","12826","45","159","833 Frye Streets Apt. 078
Port Justin, CT 74136","2018-11-03 10:36:32","8","false","2018-12-28 13:22:06","416.99"
"18","1","13765","23","92","791 Leslie Stream Apt. 301
West Hannah, VT 11913","2018-03-19 22:55:06","8","false","2019-05-02 16:24:53","193.71"
"19","2","7939","41","40","45012 Brooks Branch Apt. 652
North Patricialand, NH 17111","2003-07-21 22:25:19","2","true","2009-12-14 15:40:17","205.77"
"20","4","13633","2","65","PSC 8187, Box 9932
APO AE 62924","1977-09-28 13:43:03","1","false","1999-09-06 13:32:30","155.73"
"21","4","6429","18","143","1234 Daniel Parks Suite 464
West Tanya, NY 69223","2004-08-03 21:25:41","4","false","2017-02-13 11:45:22","453.52"
"22","8","6881","8","20","PSC 6577, Box 3567
APO AA 52491","2014-11-07 03:14:21","5","true","2016-11-09 23:09:34","312.17"
"23","2","19481","34","86","Unit 7067 Box 1642
DPO AA 21305","2000-09-15 05:40:20","3","true","2008-11-10 21:02:20","461.95"
"24","5","10578","45","76","99594 Brianna Point Apt. 224
Riverafurt, NC 67562","2005-04-26 19:53:59","7","true","2009-02-03 07:24:47","408.73"
"25","8","10191","49","183","365 Edward Shoal Suite 366
Lake Andrew, WA 14011","2017-04-21 01:46:19","6","false","2017-12-13 03:03:33","303.51"
"26","7","12094","42","55","USCGC Ware
FPO AA 47986","2021-06-11 21:22:46","8","false","2022-08-16 15:57:31","495.48"
"27","6","10656","16","96","180 Garcia Skyway
Lake Dannyfort, SD 17990","1993-12-25 06:18:34","6","false","2005-03-18 03:18:44","98.33"
"28","4","15415","15","55","4343 Rodriguez Unions Apt. 609
Laurastad, WI 98445","1996-09-01 15:12:19","7","true","2022-10-26 01:10:02","272.75"
"29","7","9648","4","80","473 Gabriel Meadows Apt. 920
Humphreyhaven, FL 55794","1985-02-17 20:27:04","6","true","1988-10-03 21:15:56","443.82"
"30","2","14785","31","79","7945 Debra Lights Suite 509
Katieville, CT 02883","2019-01-07 03:42:59","8","false","2021-12-21 10:51:18","148.93"
"31","2","8201","10","195","845 Jonathan Well
Patriciamouth, CO 52232","1986-02-02 07:09:41","9","false","2002-09-17 11:07:32","193.02"
"32","2","19359","42","135","15097 Hale Plaza Apt. 466
Angelchester, TN 80363","2016-10-13 17:06:40","9","true","2019-04-16 19:06:47","286.20"
"33","4","17839","15","123","098 Jamie Drive Apt. 463
Tinaton, VT 45207","2009-08-22 08:54:56","3","true","2016-08-11 06:35:24","370.06"
"34","9","8120","11","100","45026 Stephanie Loaf Suite 616
Gonzalesside, MD 83734","1972-04-05 03:29:41","7","false","2016-12-11 19:06:09","31.59"
"35","6","800","14","93","USCGC Smith
FPO AP 96206","2018-01-04 15:56:06","3","true","2021-05-01 03:48:06","19.14"
"36","3","10237","29","182","6723 Donald Forge Apt. 951
Port Lori, ME 10804","1994-02-17 22:40:01","6","false","2002-07-11 19:38:45","479.69"
"37","5","2186","26","106","491 Janet Springs Apt. 923
South Brandon, MA 20185","2021-03-12 13:08:48","8","true","2022-07-26 05:09:47","29.09"
"38","4","16672","41","79","172 Henderson Walk
Garrettland, FL 22480","2016-09-20 08:12:22","3","true","2022-12-01 06:47:03","266.68"
"39","2","5778","17","29","194 Carroll Spur Apt. 370
Port Melissa, NV 60396","2005-04-24 11:31:01","9","true","2008-04-08 15:35:23","259.64"
"40","2","2694","44","105","8410 Robert Curve Apt. 836
Lake David, OH 59059","1988-04-03 14:18:04","7","true","1990-09-24 05:43:48","189.51"
"41","4","907","44","180","71638 Medina Squares Apt. 488
Laurafurt, UT 32731","2019-11-04 12:18:50","5","false","2022-07-19 01:28:43","480.26"
"42","6","10084","9","196","0868 Steven Port Suite 202
West Lauraside, IA 35821","2001-11-29 12:11:34","8","true","2005-07-11 03:55:15","499.50"
"43","7","12524","18","28","630 Karen Rapid Apt. 227
Suttonberg, WI 55099","2010-04-20 18:35:02","4","true","2021-10-20 05:27:56","450.20"
"44","5","6501","5","33","2663 Williams Gardens Apt. 044
Port Jonathan, ID 18207","1993-09-22 16:35:35","6","false","2021-01-29 20:21:09","310.89"
"45","3","17693","23","83","8826 Andrew Place Apt. 391
Mataton, KY 93085","1982-04-24 03:04:05","1","false","2011-09-19 07:32:40","210.53"
"46","4","16017","8","23","117 Kimberly Way Suite 648
North Todd, MT 92288","2004-10-31 08:42:01","2","true","2015-06-16 19:30:09","444.91"
"47","5","1635","35","112","5249 Shannon Drive
New Gregory, NV 94159","2017-01-05 11:42:48","5","false","2019-09-20 23:05:39","155.15"
"48","2","2986","26","93","895 Elizabeth Junctions Suite 012
Smithchester, RI 15837","2018-12-26 06:36:48","2","true","2022-06-19 22:30:48","219.53"
"49","6","8154","4","76","9707 Kristina Trafficway
Rodriguezborough, AR 96312","1999-04-13 09:02:48","6","false","2015-08-05 04:26:59","235.62"
"50","7","15135","34","70","31886 Natalie Corner
Port Brendahaven, NJ 98450","2014-08-17 23:39:07","6","true","2022-07-15 23:24:54","247.92"
